name_other,cap_unit,cap_includes_presale,token_type,total_number_of_tokens,token_standard,additional_token_emissions,Crowdsale is auction,Has a presale,Development road map available,Whitepaper page count,Product or prototype developed,Product can be tried out,Years since foundation,Issuer has customers for product,Business model available,Smart contract code available,Project code available,Use of proceeds mentioned,Use of proceeds disclosed in detail,Token share team (ex ante),Token share producers/miners (ex ante),Unsold tokens 'burnt' or proportional allocation,Unsold tokens kept by issuer,vc_support_general,vc_support_blockchain_specialist,Investors have governance rights,Experienced team,Team member with business background,advisor_quality,legal_structure,registration_country,address,Independent custodian for ICO funds,portfolio_converted_into_fiat,Funding milestones,Qualified investors only,Simple agreement for future tokens (SAFT),KYC/AML procedure,US retail investors excluded,Investors from other (non-US) jurisdictions excluded,Legal advisor disclosed,Financial advisor disclosed,air_drop_after_ICO ,industry,ethereum_contract_address,ico_start_date,ico_end_date_actual,Total amount raised (USDm),BTC_ret_ico_period,Fundraiser has maximum ('hard cap'),Fundraiser has minimum ('soft cap'),soft_cap_unit,hard_cap_unit,price_crowdsale,Crowdsale max. discount (%),US_qualified_only,Team business background missing,Team experience missing,Team tokens locked up,issued_on_other_platf,Legal form and jurisdiction known,Postal address known,Registered in offshore financial center,switzerland,is_ethereum,Is cryptographic token,Has VC backing,has_generalist_vc,has_specialist_vc,Unknown or low quality advisors,High quality advisory team,Token supply is fixed,Celebrity endorsement,Is a security,Is a utility token,token_is_cryptocurrency,token_is_new_blockchain,Is currency or general purpose blockchain,Decentralised platform,Legal entity is foundation,Legal entity is corporation,Legal entity is LLC,"Length of crowdsale (calendar days, actual)","Length of crowdsale (calendar days, planned)",presale_transparent,industry.1
0x,USD,1,Utility-token,1000000000.0,ERC-20,0,0,0,0,16.0,1,1,1,0,0,1.0,1,0,0,1.0,0.0,0,1,No,Polychain Capital; Pantera Capital; Blockchain Capital; Kenetic Capital,0,0,0,unknown,joint-stock corporation,Cayman Islands,unknown,0,0,0,0,0,1,0,0,0,0,0,Trading & Exchanges,0xe41d2489571d322189246dafa5ebde1f4699f498,8/15/2017,8/16/2017,26.0,0,1,0,USD,USD,0.0,0.0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,2,5.0,1,Trading & Exchanges
adbank,ETH,1,Utility-token,1000000000.0,ERC-20,0,0,0,1,56.0,1,0,1,0,0,1.0,1,1,0,0.0,0.0,0,1,No,No,0,1,0,high,unknown,Canada,"Collingwood, Ontario, CANADA, L9Y 1A1",0,0,0,0,0,1,1,1,0,0,0,Commerce & Advertising,0x2baac9330cf9ac479d819195794d79ad0c7616e3,12/14/2017,1/6/2018,10.0,0,1,0,ETH,ETH,0.0,17.0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,24,39.0,1,Commerce & Advertising
AdEx,ETH,0,Utility-token,100000000.0,ERC-20,0,0,1,1,33.0,0,0,1,0,1,1.0,0,1,0,0.0,0.0,0,1,No,No,0,0,0,neutral,joint-stock corporation,Estonia,"AdEx Network OÜ, Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 5, 10117 ",0,0,0,0,0,0,0,0,1,0,0,Commerce & Advertising,0x4470bb87d77b963a013db939be332f927f2b992e,6/30/2017,6/30/2017,14.0,0,1,1,ETH,ETH,0.0,23.0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,31.0,1,Commerce & Advertising
Adhive (ADH),USD,0,Utility-token,392000000.0,ERC-20,0,0,1,1,70.0,1,1,1,0,1,0.0,0,0,1,1.0,0.0,1,0,No,No,0,1,1,high,joint-stock corporation,Estonia,"AdHive Platform OÜ, Harju maakond, Tallinn, Lasnamäe linnaosa, Peterburi tee 47, 11415",0,0,0,0,0,1,1,1,0,1,0,Commerce & Advertising,0xe69a353b3152dd7b706ff7dd40fe1d18b7802d31,2/28/2018,2/28/2018,15.0,0,1,1,USD,USD,0.0,24.0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,15.0,1,Commerce & Advertising
Aditus,USD,1,Security,750000000.0,ERC-20,0,0,1,1,35.0,0,0,0,0,1,1.0,0,1,0,1.0,0.0,1,0,No,District 13,1,1,1,high,joint-stock corporation,Singapore,"Aditus Pte. Ltd., 178 CLEMENCEAU AVENUE #03-01 HAW PAR GLASS TOWER SINGAPORE 239926",0,0,0,0,0,1,1,1,1,0,0,Commerce & Advertising,0x8810c63470d38639954c6b41aac545848c46484a,11/30/2017,12/20/2017,7.0,0,1,1,USD,USD,0.0,3.0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,21,21.0,1,Commerce & Advertising
adToken,ETH,1,Utility-token,1000000000.0,ERC-20,0,0,1,1,16.0,0,0,0,0,0,1.0,1,1,0,0.0,0.0,0,1,No,No,1,1,0,high,joint-stock corporation,United States," MetaXchain, Inc., 3110 Main St., Penthouse Suite #400, Los Angeles CA",0,0,0,0,0,0,1,0,0,0,0,Commerce & Advertising,0xd0d6d6c5fe4a677d343cc433536bb717bae167dd,6/26/2017,6/26/2017,9.0,0,1,0,ETH,ETH,0.0,0.0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1.0,0,Commerce & Advertising
Aeternity,CHF,1,New Blockchain,276571964.0,ERC-20,1,0,0,1,10.0,1,1,0,0,0,0.0,1,0,0,0.0,0.0,1,0,No,No,1,1,1,neutral,foundation,Liechtenstein,"Aeternity Establishment, Landstr. 123, FL-9495 Triesen ",0,0,0,0,0,0,0,0,1,0,0,Blockchain Infrastructure,0x5ca9a71b1d01849c0a95490cc00559717fcf0d1d,4/3/2017,6/9/2017,35.0,1,1,0,CHF,CHF,0.0,41.0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,68,78.0,1,Blockchain Infrastructure
Agrello,BTC,0,Utility-token,130271020.0,ERC-20,0,0,1,1,35.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1,0,No,No,0,1,0,neutral,joint-stock corporation,Estonia,"Valukoja 8, 11415 Tallinn, Estonia",0,0,0,0,0,1,0,0,0,0,0,Legal,0x07e3c70653548b04f0a75970c1f81b4cbbfb606f,7/16/2017,8/17/2017,30.0,1,1,0,BTC,BTC,0.0,23.0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,33,33.0,0,Legal
AidCoin,ETH,1,Cryptocurrency,100000000.0,ERC-20,0,0,1,1,28.0,0,0,4,0,0,1.0,0,1,0,1.0,0.0,0,1,No,Vulpem,0,0,1,medium,joint-stock corporation,Switzerland,"via Giuseppe Motta 10, 6830 Chiasso - Switzerland",0,0,0,0,0,1,1,0,0,1,1,Charity,0x37e8789bb9996cac9156cd5f5fd32599e6b91289,1/16/2018,1/16/2018,16.0,0,1,1,ETH,ETH,1.0,0.0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,17.0,1,Charity
Aigang,ETH,1,Utility-token,29274567.0,ERC-20,0,0,1,1,32.0,1,1,0,0,1,1.0,1,1,0,0.0,0.0,1,0,No,No,0,1,1,neutral,joint-stock corporation,Singapore,Superposition Technologies Pte. Ltd. 201721187N 22 North Canal Road #02-00,0,0,0,0,0,0,1,1,1,0,0,Insurance,0x1063ce524265d5a3a624f4914acd573dd89ce988,11/15/2017,12/15/2017,4.0,1,1,0,ETH,ETH,0.0,13.0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,31,31.0,1,Insurance
AirToken,USD,1,Utility-token,1491492558.0,ERC-20,0,0,1,1,46.0,1,1,2,1,0,1.0,0,1,0,0.0,0.0,0,1,Right Side Capital Management; Techstars; Project 11 Ventures; NXT ventures; Launch Capital,No,0,0,0,medium,joint-stock corporation,United States,"207 South Street Suite 172 Boston, MA 02111",0,0,0,0,0,1,0,1,0,0,0,Finance,0x27dce1ec4d3f72c3e457cc50354f1f975ddef488,9/30/2017,10/7/2017,15.0,0,1,1,USD,USD,0.0,23.0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,8,72.0,0,Finance
ALIS,ETH,1,Utility-token,75209200.0,ERC-20,1,0,0,1,26.0,0,0,0,0,1,1.0,1,1,0,1.0,0.0,1,0,No,No,0,0,1,unknown,joint-stock corporation,Japan,"ALIS CO., Ltd., Kawara Bld.6F, 1-20-7, Jinnan, Shibuya-ku, Tokyo, 150-0041",0,0,0,0,0,0,0,0,0,0,0,Social Networks,0xea610b1153477720748dc13ed378003941d84fab,9/1/2017,9/29/2017,4.0,0,1,1,ETH,ETH,0.0,31.0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,29,29.0,1,Social Networks
Ambrosus,ETH,1,Utility-token,1151773038.0,ERC-20,0,0,1,1,37.0,0,0,1,0,1,1.0,0,1,1,1.0,0.0,1,0,No,No,0,1,1,high,limited liability partnership,Switzerland,"Gotthardstrasse 26, 6300 Zug",0,0,0,0,0,1,1,0,0,0,0,Provenance & Notary,0x4dc3643dbc642b72c158e7f3d2ff232df61cb6ce,9/17/2017,10/20/2017,56.0,1,1,0,ETH,ETH,0.0,0.0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,34,31.0,1,Provenance & Notary
AppCoins,USD,0,Utility-token,245000000.0,ERC-20,0,0,1,1,45.0,1,1,2,1,0,1.0,1,1,0,1.0,0.0,1,0,Catagonia Limited,No,0,1,1,high,joint-stock corporation,Singapore,"30 Cecil St, #19-08, Prudential Tower, Singapore 049712.",0,0,0,0,0,1,1,1,0,0,1,Marketplaces,0x1a7a8bd9106f2b8d977e08582dc7d24c723ab0db,12/13/2017,12/20/2017,17.0,0,1,1,USD,USD,0.0,20.0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,8,34.0,0,Marketplaces
Arbidex (ABX),tokens,1,Utility-token,25000000.0,ERC-20,0,0,1,1,28.0,1,1,2,0,1,0.0,0,1,0,0.0,0.0,1,0,No,No,1,0,0,low,joint-stock corporation,United Kingdom,"DEX Corp Ltd., 85 Great Portland Street, First Floor, London, United Kingdom W1W 7LT",0,0,0,0,0,1,1,1,0,0,0,Trading & Exchanges,0x9a794dc1939f1d78fa48613b89b8f9d0a20da00e,1/23/2018,2/28/2018,16.0,0,1,1,tokens,tokens,1.0,0.0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,37,37.0,1,Trading & Exchanges
ATLANT,USD,1,Security,54175041.0,ERC-20,0,0,1,1,40.0,1,1,1,0,1,1.0,0,1,0,0.0,0.0,1,0,No,No,1,1,0,high,joint-stock corporation,British Virgin Islands,unknown,0,0,0,0,0,0,1,1,1,0,0,Real Estate,0x78b7fada55a64dd895d8c8c35779dd8b67fa8a05,9/7/2017,10/31/2017,7.0,0,1,1,USD,USD,1.0,16.0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,55,55.0,1,Real Estate
Aventus,tokens,1,Utility-token,10000000.0,ERC-20,0,0,1,1,18.0,1,1,1,0,1,1.0,0,0,0,0.0,0.0,1,0,No,Global Advisors,1,0,0,unknown,joint-stock corporation,United Kingdom,"Kemp House 160 City Road, London, United Kingdom, EC1V 2NX ",0,0,0,0,0,0,0,0,0,0,0,Events & Entertainment,0x0d88ed6e74bbfd96b831231638b66c05571e824f,9/6/2017,9/6/2017,20.0,0,1,1,tokens,tokens,4.0,0.0,0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,8.0,1,Events & Entertainment
aXpire,USD,1,Utility-token,350000000.0,ERC-223,0,0,0,1,24.0,0,0,1,0,0,1.0,1,0,0,0.0,0.0,1,0,No,No,0,1,0,high,unknown,Singapore,unknown,0,0,0,0,0,1,0,1,0,0,0,Finance,0x9af2c6b1a28d3d6bc084bd267f70e90d49741d5b,1/8/2018,1/12/2018,20.0,0,1,1,USD,USD,0.0,30.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,5,74.0,1,Finance
B2BX,EUR,1,Utility-token,19822337.0,ERC-20,0,0,1,1,37.0,1,1,3,1,1,0.0,0,1,0,0.0,0.0,1,0,No,No,0,1,1,high,limited liability partnership,United Kingdom,"3rd floor, fairgate House, 78 Oxford Street, London, United Kingdom, WC1A 1HB",0,0,0,0,0,0,1,1,0,1,0,Trading & Exchanges,0x5d51fcced3114a8bb5e90cdd0f9d682bcbcc5393,10/2/2017,11/17/2017,10.0,1,1,1,EUR,EUR,1.0,15.0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,47,47.0,1,Trading & Exchanges
Bancor,tokens,1,Utility-token,79300000.0,ERC-20,0,0,0,0,13.0,0,0,4,0,0,0.0,1,1,0,1.0,0.0,1,0,No,Blockchain Capital; Draper Associates,0,1,1,high,foundation,Switzerland,"Bprotocol Stiftung, c/o Sielva Management SA, Gubelstrasse 11, 6300 Zug",1,0,0,0,0,0,0,0,0,0,0,Trading & Exchanges,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,6/12/2017,6/12/2017,159.0,0,1,0,tokens,tokens,4.0,0.0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,15.0,1,Trading & Exchanges
Bankex,ETH,1,Utility-token,400000000.0,ERC-20,0,0,1,1,36.0,1,1,2,1,1,1.0,0,1,0,1.0,0.0,0,1,No,No,0,1,1,high,unknown,Cayman Islands,"BKX, PO Box 309, Ugland House, Grand Cayman, KY1-1104",0,0,0,0,0,1,1,0,0,0,0,Finance,0x45245bc59219eeaaf6cd3f382e078a461ff9de7b,11/28/2017,12/26/2017,74.0,0,1,1,ETH,ETH,1.0,9.0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,29,31.0,0,Finance
Basic Attention Token,ETH,1,Utility-token,1500000000.0,ERC-20,0,0,0,1,37.0,1,1,1,1,0,1.0,1,1,0,0.0,0.0,0,1,Foundation Capital; Founders Fund; Propel Venture Partners; Danhua Capital,Huiyin Blockchain Venture; Pantera capital; Digital Currency Group; Digital Finance Group,0,1,1,high,joint-stock corporation,Cayman Islands,unknown,0,0,0,0,0,0,0,0,0,0,0,Commerce & Advertising,0x0d8775f648430679a709e98d2b0cb6250d2887ef,5/31/2017,5/31/2017,36.0,0,1,1,ETH,ETH,0.0,0.0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1.0,1,Commerce & Advertising
Betmaster,tokens,1,Security,6670017.0,ERC-20,0,0,0,1,40.0,1,1,2,1,1,0.0,0,0,0,0.0,0.0,0,1,No,No,0,0,1,unknown,joint-stock corporation,Estonia,"Reinvent Baltics OÜ Harju maakond, Tallinn, Kesklinna linnaosa, Roosikrantsi tn 2-K331, 10119 ",0,0,0,0,0,1,0,0,1,0,0,Gambling & Betting,unknown,9/6/2017,12/31/2017,5.0,1,1,0,tokens,tokens,1.0,23.0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,117,117.0,1,Gambling & Betting
Bitbounce,USD,0,Utility-token,1374729257.0,ERC-20,0,0,1,0,36.0,1,1,3,1,1,1.0,0,0,0,1.0,0.0,0,1,No,Tim Draper,0,0,1,high,joint-stock corporation,United States,"Turing Technology, Inc., 655 Oak Grove Ave #1, Menlo Park, CA 94025",0,0,0,0,0,0,0,0,0,0,1,Communications,0x4e0603e2a27a30480e5e3a4fe548e29ef12f64be,7/26/2017,8/29/2017,12.0,1,1,1,USD,USD,0.0,0.0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,35,1.0,1,Communications
BitClave,USD,1,Cryptocurrency,2000000000.0,ERC-20,0,0,1,1,51.0,1,1,1,0,0,1.0,1,1,0,1.0,0.0,1,0,No,No,0,1,1,high,joint-stock corporation,Singapore,unknown,0,0,0,0,0,1,1,1,1,1,1,Search,0x1234567461d3f8db7496581774bd869c83d51c93,11/29/2017,12/29/2017,26.0,0,1,0,USD,USD,0.0,0.0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,31,1.0,0,Search
BitDegree,ETH,1,Utility-token,660000000.0,ERC-20,0,0,0,1,36.0,1,1,1,0,1,1.0,0,1,0,0.0,0.0,0,1,No,No,0,1,1,neutral,joint-stock corporation,Lithuania,"Veiveri? str. 139, Kaunas",0,0,0,0,0,1,0,0,1,1,1,Online-learning,0x1961b3331969ed52770751fc718ef530838b6dee,11/30/2017,12/29/2017,23.0,0,1,1,ETH,ETH,0.0,13.0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,30,30.0,1,Online-learning
BitDice,tokens,0,Security,100000000.0,ERC-223,0,1,1,1,24.0,1,1,1,1,1,1.0,1,1,0,0.0,0.0,0,1,No,No,0,0,0,unknown,joint-stock corporation,Costa Rica,unknown,0,0,0,0,0,0,0,0,0,0,0,Gambling & Betting,0x29d75277ac7f0335b2165d0895e8725cbf658d73,8/15/2017,9/15/2017,9.0,0,1,0,tokens,tokens,0.0,13.0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,32,32.0,1,Gambling & Betting
Bitquence,ETH,1,Utility-token,222295208.0,ERC-20,0,0,0,1,24.0,0,0,0,0,1,1.0,0,0,0,0.0,0.0,1,0,No,No,0,0,0,unknown,joint-stock corporation,Singapore,BITQUENCE PTE. LTD. 101 CECIL STREET #18-12 TONG ENG BUILDING SINGAPORE 069533,0,0,0,0,0,1,1,1,0,0,0,Finance,0x5af2be193a6abca9c8817001f45744777db30756,6/28/2017,7/16/2017,0.0,0,1,1,ETH,ETH,0.0,73.0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,19,19.0,1,Finance
Blackmoon Crypto,USD,1,Security,60000000.0,ERC-20,0,0,1,1,10.0,1,0,3,1,0,1.0,0,0,0,1.0,0.0,1,0,No,No,0,0,1,high,joint-stock corporation,Cayman Islands,"Harbour Place, 103 South Church Street, P.O. Box 10240, Grand Cayman, KY1-1002, Cayman Islands",0,0,0,0,0,1,1,1,0,0,0,Finance,0xdf6ef343350780bf8c3410bf062e0c015b1dd671,9/12/2017,9/13/2017,30.0,0,1,0,USD,USD,1.0,9.0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,2,30.0,1,Finance
Block Array,USD,1,Utility-token,88409933.0,ERC-20,0,0,1,1,33.0,1,1,1,0,0,1.0,1,1,0,0.0,0.0,0,1,No,No,0,1,0,high,limited liability partnership,United States,unknown,0,0,0,0,0,1,0,1,0,0,0,Data Analytics,0xa5f8fc0921880cb7342368bd128eb8050442b1a1,12/22/2017,1/8/2018,8.0,0,1,1,USD,USD,0.0,23.0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,18,24.0,0,Data Analytics
BlockCAT,ETH,1,Utility-token,9200151.0,ERC-20,0,0,0,1,21.0,0,0,0,0,1,1.0,0,1,0,0.0,0.0,1,0,No,No,1,0,0,neutral,joint-stock corporation,Canada,"BlockCAT Technologies Inc., PO Box 30100 Glenpark PO, Kelowna, BC, Canada V1V 2M4",0,0,1,0,0,0,0,0,0,0,0,Payments,0x56ba2ee7890461f463f7be02aac3099f6d5811a8,7/15/2017,8/18/2017,7.0,1,1,1,ETH,ETH,1.0,9.0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,35,33.0,1,Payments
